segmentName,test_short_PESQ,test_short_STOI,test_short_SegSNR,test_short_DNSMOS_OVRL,test_short_DNSMOS_SIG,test_short_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3.396,0.779084691184276,2.79411997927873,3.20497617112037,3.52854345120653,4.00007056052076
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,2.77,0.860612075959772,2.77180701023059,2.94581351505204,3.31148829465787,3.88485827886027
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3.427,0.64409471834166,3.41790593642875,3.16169032923005,3.54454566081545,3.87501946081241
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.41,0.911659273375758,3.61787966322394,3.22759283825055,3.53100357890719,4.02729555270218
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2.305,0.8622216570158,6.52070990777864,3.3125515758761,3.58539256761123,4.11084469152605
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3.369,0.727069416105224,4.98031063489087,3.12585082413129,3.4485213773684,3.99193783821734
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3.082,0.713718651605162,5.47778844938327,3.11840724088643,3.46234995042267,3.94259975862816
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3.071,0.604301409467243,1.91736554425236,3.12340726829793,3.46575624885475,3.95950070871375
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,2.832,0.657950340669325,2.57727393253523,2.87003225027898,3.18867714215406,3.88720595494957
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,2.833,0.815262995924072,4.7212198068602,3.12809572479967,3.44401965381822,4.01930325399393
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3.564,0.766352161252044,4.2451820929139,3.26275427430467,3.56987795745074,4.01659355743887
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,3.087,0.897811941015086,3.63031364776694,3.04022711489489,3.4213476187864,3.87089282666391
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3.479,0.661406240300646,4.61808291937997,3.22448083791087,3.63616195553059,3.80306513891686
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3.579,0.933635467005803,5.03959175367562,3.33356614783168,3.61276650035239,4.09796866471766
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3.621,0.88111311853527,8.51353021954867,3.34900460662861,3.61188226221033,4.1193599023521
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,3.803,0.751686999876788,6.1291855045503,3.12373360246949,3.44782616031988,3.97248807364555
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3.27,0.734835885056414,6.33786958815821,3.26633287023715,3.57495686943538,4.05245255892105
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3.193,0.638840714079823,2.56628554167268,3.1848248607974,3.49308956029095,4.03234197748435
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,2.752,0.665594771815401,3.29518070747469,2.87193566167026,3.18560027009597,3.9033984976626
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_20,2.999,0.831128363455856,5.96003016452414,3.28105096140381,3.579130632311,4.05287691433303
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_21,3.603,0.790563350946473,5.59777975442264,3.37047680172454,3.64567888782678,4.0803705418089
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_22,3.443,0.893708792514005,5.096691304658,3.08299448289171,3.42013383197056,3.98695168980296
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_23,3.711,0.666495000699405,7.10893289622945,3.28262428927971,3.66068775939089,3.87593544554719
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_24,3.907,0.941379494436867,6.25331523337867,3.33127675577804,3.6128276716969,4.08463071507091
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_25,3.833,0.904767593425534,10.3629286292019,3.36506859576944,3.62668322777079,4.10143962574793
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_26,3.94,0.769543469560394,7.55669474420244,3.18766224641238,3.49496193092804,4.00634130279388
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_27,3.485,0.757067380604877,8.19465476365852,3.17410660669756,3.50147214577969,3.99695253029978
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_28,3.236,0.613678756870793,3.76318425113592,3.14191490227073,3.45521588293555,4.01657747087133
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_29,3.116,0.679204624030283,4.73077095305088,2.95621584330365,3.28126111703,3.90912020095508
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_30,3.461,0.844903665276871,6.60780288309872,3.2269115174829,3.52971949724283,4.03303220043334
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_31,3.215,0.725684021790625,1.9053077847769,3.21295009362114,3.57688077880184,3.94805376311838
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_32,2.007,0.843655199063925,-0.69103249427186,3.03638444359868,3.41770605394341,3.95182277476328
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_33,3.059,0.630921557641327,2.32842859056527,3.21267941495871,3.65392000918348,3.80151089706312
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_34,2.718,0.835411219325523,1.26287246018195,3.14268383389808,3.47414006405413,3.98606314954048
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_35,2.618,0.774115236366349,4.09401246771161,3.06277797182484,3.46295603091816,3.85925104543046
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_36,2.322,0.667033155362145,2.70617575384767,3.15903063924146,3.4939300335212,3.99740433754219
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_37,2.651,0.673563243023723,4.65133775694239,3.23462846247427,3.5739292418082,3.98550294399286
