segmentName,test_short_PESQ,test_short_STOI,test_short_SegSNR,test_short_DNSMOS_OVRL,test_short_DNSMOS_SIG,test_short_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3.277,0.772847988375703,2.3182272542892,3.17394864027494,3.49281856866773,4.02077204091004
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,2.781,0.865791004206032,2.2764874615593,2.96008687640994,3.33075714225677,3.86176134107908
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3.287,0.646532098086826,3.04223806168651,3.06826516221116,3.4524122940577,3.87798210615491
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.396,0.906308239047936,3.05176006681475,3.14640216351818,3.43632773119332,4.04463756139921
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2.245,0.860603562894633,6.05094801162734,3.28578742106738,3.5648611618968,4.10648800447894
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3.393,0.724418558920763,4.47386535389022,3.08153516424862,3.40121301049182,3.99461121647159
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3.114,0.690836621656117,5.15888161857148,3.11566354516963,3.43841794462758,3.97886403782009
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3.011,0.59038635658477,1.49101948635692,3.09799214652414,3.44338053565161,3.96180317085062
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,3.088,0.649807705321982,1.96966107414768,2.88033471505784,3.18743275002704,3.91660156113983
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,2.895,0.812719548300608,4.43204922550784,2.95839065039547,3.26844268714345,3.96155148480776
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3.505,0.754520655789661,3.71243925996553,3.244107146434,3.54530523468424,4.03918115853847
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,3.139,0.897750864393571,2.87507562108736,3.08341913278405,3.44571947433988,3.91772360074715
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3.481,0.652430445740684,4.28470191083599,3.1868884505745,3.65796834599794,3.70056642062005
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3.625,0.922671750788215,4.53668204866736,3.33677794760934,3.614347671547,4.10163967313921
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3.452,0.870365341093887,8.09322120993831,3.3175430492689,3.59211370958582,4.09597805788658
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,3.852,0.756859671651461,5.54342420256636,3.12426216627017,3.44559375632682,3.98478479965271
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3.461,0.738744966377963,6.00210668795934,3.23448021317647,3.55303003340798,4.02148818805111
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3.545,0.621248669573496,2.24278903938359,3.13585473903803,3.46873995844521,3.98989445600353
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,3.079,0.645669541746414,3.09506211145993,2.85266798407047,3.1656889527115,3.89900175331875
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_20,3.258,0.830043454823406,5.67385210370302,3.16314736157111,3.46632059006227,4.0193186868708
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_21,3.629,0.78032195253905,4.97496220752284,3.35767157547794,3.63538184149614,4.08503228877607
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_22,3.445,0.896572991711561,4.39785335149477,3.13675021557504,3.45364097643296,4.0324425445487
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_23,3.732,0.667318132868592,6.62093828166543,3.28129633359252,3.65173994163551,3.91051682337438
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_24,3.964,0.937589863758019,5.70067740069359,3.33358289799913,3.60526012641379,4.10434809771792
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_25,3.797,0.896248218478576,9.95175044759558,3.35579246969418,3.62141704216466,4.10144605110334
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_26,4.092,0.77151729251914,7.11387075668421,3.17276282731367,3.49532686478033,3.98483571274588
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_27,3.804,0.767973760661565,8.04945254680482,3.19572594374248,3.50291739902665,4.03086491561113
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_28,3.568,0.605514644048351,3.49545891712112,3.12600573050775,3.44692238497522,4.00758583990381
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_29,3.571,0.686071337705251,4.46085733673244,2.93611144536379,3.25235744511278,3.92170685531143
